id_cliente,identificacion,nombre,apellido,genero,fecha_nacimiento,correo,telefono,id_programa,fecha_afiliacion,tipo_cliente
828,065489929,Antonia,Roldán Moreno,F,1978-06-10,torresanel@example.org,630.453.0693x5882,2,2022-09-16,Ocasional
829,975114759,Gabriela,Girón Menéndez,F,1960-11-27,hildaalcala@example.org,1-181-677-8481x65244,2,2022-03-01,Frecuente
830,147642536,Florencia,Murillo Ibarra,N,1955-12-07,luis08@example.org,(517)993-7810x5391,3,2022-01-31,Frecuente
831,817677691,Concepción,Terán Reyes,N,1963-05-21,pablo69@example.net,1-698-829-0457x9271,4,2024-07-19,Ocasional
832,918256638,Gerardo,Rascón Chapa,M,1978-01-31,jose-manuel30@example.org,986.424.2383x97283,3,2023-06-13,VIP
833,357296774,Eva,Vanegas Candelaria,M,1960-06-02,brunoulloa@example.com,+62(9)3288098322,,,VIP
834,202653403,Carlos,Armendáriz Carrión,N,1981-03-13,escalanteestela@example.org,+01(8)6766100898,1,2025-08-04,Ocasional
835,961446130,Zoé,Rosales Olvera,M,1951-06-03,albapascual@example.org,(356)140-3845,4,2023-04-28,Ocasional
836,411737215,Violeta,Guerrero Briones,M,1998-01-06,rosasgeronimo@example.com,(235)469-5100x3076,3,2023-12-07,Ocasional
837,659424956,Dulce,Acosta Negrón,F,1993-11-10,isaac96@example.com,05006666411,3,2022-05-19,Ocasional
838,561720069,Adán,Orozco Nevárez,F,1951-01-24,asuncion13@example.com,+78(5)1699497089,2,2023-12-29,Frecuente
839,368119282,Adela,Nazario Valenzuela,M,1951-04-18,luis-manuelperea@example.net,1-482-689-9962,2,2022-03-07,Frecuente
840,751969552,Julia,Zepeda Rico,M,1959-12-05,suarezeugenia@example.net,(888)917-8791x505,2,2022-06-20,VIP
841,147972314,Rosa,Portillo Dueñas,M,1955-09-30,maria-elena19@example.com,093-201-2657x898,,,Ocasional
842,514806164,Eduardo,Olivares Alejandro,M,2006-06-14,arcelia80@example.net,217.558.5177,3,2023-12-25,Frecuente
843,360980135,María Eugenia,López Bustamante,F,1961-07-25,micaelalucio@example.com,211.882.4199x6264,,,VIP
844,202041316,Diana,Curiel Cisneros,M,1950-04-03,gmesa@example.net,07045421854,3,2025-10-30,Ocasional
845,182932145,José Emilio,Ruelas Armenta,N,1952-09-14,manuel82@example.org,1-225-709-0016x3564,4,2025-12-23,Ocasional
846,318768460,Ana,Rico de la Torre,M,1950-02-17,celialeiva@example.com,(828)954-0017,3,2022-05-12,Frecuente
847,934240527,Nicolás,Sierra Elizondo,N,1952-06-19,fridaregalado@example.org,02616850710,,,VIP
848,041981010,Jerónimo,Valenzuela Bahena,F,1950-07-18,carrillorene@example.com,+92(7)1152610537,4,2025-06-14,Frecuente
849,570713131,Ana,Vargas Chacón,M,1964-08-04,alvaroapodaca@example.com,06950074189,,,VIP
850,505596629,Hugo,Valenzuela Menchaca,N,1955-02-20,esperanza29@example.net,1-698-936-5294x471,,,Ocasional
851,391381370,Liliana,Bueno Serrato,F,1964-04-12,mariofierro@example.com,(131)045-0258x9632,4,2023-01-07,Ocasional
852,475100450,Ángela,Rocha Lucio,M,1951-10-14,jorge-luisquezada@example.com,352-680-6486x0673,,,Frecuente
853,857074847,Rolando,Ulibarri Gaona,F,1961-10-10,helena88@example.org,(425)364-6280x5507,,,VIP
854,293627513,María,Lebrón Arteaga,F,2000-07-22,cmurillo@example.net,1-515-623-9209,4,2025-05-12,Frecuente
855,681145503,Aldo,Toledo Merino,F,1991-12-18,bernabe07@example.net,1-409-131-1178x61902,3,2023-10-28,Frecuente
856,760359895,Isaac,Lucero Rael,M,1959-10-13,rayala@example.net,(206)953-5412,2,2023-01-07,Ocasional
857,123570914,Abel,Borrego Cervántez,N,1956-04-24,marcelamartinez@example.net,002.601.5153,2,2022-01-15,VIP
858,692977757,Dulce,Montenegro Villalobos,F,2001-10-17,marcos95@example.org,1-407-173-2798x059,,,Ocasional
859,119330782,Zeferino,Navarrete Amaya,N,1993-07-31,yenibarraza@example.org,+64(9)3403910452,,,Ocasional
860,681369855,Alonso,Gallegos Porras,M,1998-12-29,santillansara@example.net,(118)491-3599,2,2025-03-24,Ocasional
861,460956442,Delia,Trejo Muñoz,N,2004-11-17,federico59@example.com,056-100-6799,,,Ocasional
862,622496831,Adán,Almaraz Otero,M,1990-07-17,dtrujillo@example.org,(677)403-7842x3394,,,Frecuente
863,143736243,Homero,Vera Noriega,N,1959-10-16,alejandraacevedo@example.com,762.550.3250x173,3,2023-05-26,Ocasional
864,365959687,Juan,Marroquín Herrera,F,2004-05-13,julio-cesarenriquez@example.com,07842902923,4,2024-01-16,Ocasional
865,535263670,Estela,Manzanares Menéndez,F,1997-03-19,barriosadela@example.net,+90(6)0530886843,,,Frecuente
866,964929606,Adela,Coronado Carrión,F,1991-10-12,olivolaura@example.com,290.457.5988,2,2023-10-10,Ocasional
867,660525117,María del Carmen,Mejía Valles,F,1975-05-07,asuncionde-la-torre@example.net,964.260.3362x02755,,,VIP
868,453937727,Nicolás,Escobar Bernal,M,1985-03-22,maria-teresa70@example.net,207.115.2380x2362,2,2023-10-05,Frecuente
869,678242619,Berta,Zúñiga de la Torre,M,1974-01-11,moralesofelia@example.org,970-591-6118x6385,4,2025-06-08,Frecuente
870,302336909,Isabela,Urbina Urbina,M,1953-09-03,villaloboshumberto@example.net,772.168.8005x37893,1,2023-02-03,Frecuente
871,439757711,Ángel,Trujillo Núñez,N,2000-07-28,nancyverdugo@example.com,(845)401-8227,1,2025-07-24,Frecuente
872,167040711,Dalia,Abreu Ayala,M,1998-07-16,pedrogallardo@example.net,(823)220-4144,1,2024-01-17,Ocasional
873,325369339,Micaela,Leiva Galarza,N,1979-11-15,ofeliacarmona@example.org,(599)302-0203x042,,,VIP
874,230476692,Estefanía,Ceja Cedillo,N,1962-04-13,wsalinas@example.org,1-135-302-8165x06463,,,Frecuente
875,170640172,Abelardo,Báez Montañez,N,1983-10-29,marcosreyes@example.com,691.983.2102,,,Ocasional
876,894909104,Rufino,Burgos Pelayo,F,1952-02-05,rodartehector@example.com,029.831.0438x4196,1,2024-06-03,Frecuente
877,690796105,Julio César,Curiel Corona,M,1972-09-07,fierrocaridad@example.com,080.568.5667x063,4,2025-05-12,Frecuente
878,411106678,Laura,Corral Bravo,N,2006-12-27,xnajera@example.org,(944)407-6634,2,2025-03-29,Ocasional
879,976182419,Salma,Esparza Garza,M,1954-12-29,amontanez@example.com,962-732-2626x11424,2,2024-11-12,Ocasional
880,247173637,Esmeralda,Partida Chapa,N,1989-11-30,vanesa85@example.com,(218)808-7991x96234,,,Ocasional
881,901168700,Arturo,Zaragoza Vásquez,M,1987-10-22,oirizarry@example.org,(532)472-5058x3334,3,2023-06-14,Ocasional
882,445372484,Eloy,Aragón Guajardo,N,1951-09-30,berriosjosefina@example.net,760-545-7694x7576,,,Ocasional
883,946283325,Rodrigo,Jasso Meza,N,1972-06-25,jorge-luisgrijalva@example.com,974.669.8616,3,2022-01-29,Frecuente
884,486234704,Emilio,León Castro,M,2005-02-27,diazjacobo@example.com,080.959.4815,2,2025-01-22,Frecuente
885,330559860,Dulce María,Ozuna Ybarra,N,1983-11-19,irenenieto@example.net,647-213-0742x359,1,2023-12-01,Frecuente
886,146903750,Caridad,Jáquez Durán,M,1956-08-30,scasillas@example.org,(489)332-6145x43079,,,Ocasional
887,434886151,Liliana,Garay Reyna,M,1965-08-18,bernardoalmanza@example.org,(178)522-1158x7184,,,Ocasional
888,162360305,Ilse,Cortez Fuentes,M,2005-05-03,victor42@example.com,744-701-7320x8652,1,2024-12-05,Ocasional
889,491057481,Estela,Rael Ríos,M,1953-07-15,kcenteno@example.com,563-370-1400x527,1,2024-08-23,Frecuente
890,802453436,Omar,Barajas Alvarado,N,1976-05-07,irma80@example.org,+27(2)2142573160,3,2022-05-18,Frecuente
891,095060153,Salma,Madera Gaytán,N,1965-11-05,gamboaleonel@example.net,172-031-3695x52862,3,2025-09-24,VIP
892,246926109,Aldonza,Zaragoza Escamilla,M,2005-08-19,wgurule@example.org,595.332.2273x93899,4,2023-07-05,Ocasional
893,666832538,Delia,Abreu Loera,F,1977-09-28,mario35@example.org,366-185-0761,,,Frecuente
894,336676124,Amador,Ureña Rico,M,1981-05-01,seguraeduardo@example.com,718.236.0107x1261,3,2022-03-22,Ocasional
895,978081476,Joaquín,Uribe Garibay,M,1989-11-05,augustosalcedo@example.net,648-467-3574x22332,,,Ocasional
896,357631639,Claudia,Cuellar Sauceda,N,1978-09-24,caraballosandra@example.com,258-922-2560,,,Frecuente
897,845032750,José María,Elizondo Miranda,F,2002-10-10,jose-emilioarroyo@example.com,731.180.4674,2,2023-11-23,Ocasional
898,517642065,Bernardo,Gracia Aguayo,M,1966-05-22,omascarenas@example.net,(185)201-3626,,,Frecuente
899,397190995,Virginia,Báez Sauceda,N,1956-05-09,wilfrido63@example.net,756.154.7055x49121,4,2024-11-13,Ocasional
900,667580351,José Carlos,Briseño Porras,N,1968-10-22,angelica19@example.net,1-564-091-9693,2,2025-08-25,VIP
901,295801641,Rosa,Mayorga Raya,N,1994-06-10,zmuniz@example.org,+70(2)0426201971,3,2023-11-11,Ocasional
902,288584787,Celia,Burgos Cornejo,M,1955-10-06,antonia39@example.org,1-696-789-7609x87312,,,Ocasional
903,466543259,Luis,Salas Roybal,M,1993-03-22,arceliazarate@example.org,760-759-8897,,,Ocasional
904,698044458,Violeta,Tovar Peres,F,1962-12-04,eva39@example.net,1-431-916-5430x89523,,,Ocasional
905,488656495,Carlota,Colunga Armenta,F,1979-08-31,carlavilla@example.org,057.644.9747,3,2024-07-14,Frecuente
906,792099199,Abraham,Arteaga Abreu,M,1987-04-26,luciavalentin@example.com,448-676-4979x741,,,Ocasional
907,694639952,Lourdes,Ferrer Olmos,M,1996-04-15,luis04@example.com,+06(3)5537309649,3,2024-12-17,Ocasional
908,226473189,Luis,Escamilla Rivera,F,1999-09-27,hberrios@example.net,1-529-635-3059x7025,2,2025-12-07,Ocasional
909,980946320,Jerónimo,Carmona Cuellar,F,1970-10-27,maria-teresapedraza@example.net,1-643-159-4898,2,2024-07-09,VIP
910,622246897,Rebeca,Meza Orozco,F,1956-01-18,guillermina66@example.org,(544)344-1491,2,2023-08-06,Frecuente
911,283108105,Leonardo,Vargas Zavala,M,1994-02-05,sandraguerra@example.net,497-439-4640,4,2025-01-10,Frecuente
912,703062655,Olivia,Valentín de la Torre,F,1970-10-13,espartaarreola@example.net,1-862-973-9889,3,2022-06-13,Frecuente
913,506553016,Genaro,Camarillo Haro,N,1998-06-22,bernardoaguilera@example.net,1-202-170-7548x534,3,2025-06-10,Frecuente
914,257535898,Sonia,Paz Nevárez,F,1990-04-14,mariana92@example.org,+30(0)4496461293,1,2023-05-12,Ocasional
915,026858477,Raquel,Ayala Amaya,M,1968-10-21,jonascarbajal@example.org,03756589635,,,Ocasional
916,243427975,Rodolfo,Miranda Rodríguez,M,1988-05-08,vacaluis-manuel@example.org,1-931-458-4345x6631,,,Ocasional
917,711430209,Antonia,Garica Torres,F,1990-04-08,amanda34@example.org,1-622-033-4742,,,Ocasional
918,407462263,Gabino,Palomo Franco,N,1983-01-15,almarazhermelinda@example.org,(796)868-0085x29469,4,2022-12-22,Frecuente
919,168846703,Amador,Corral Burgos,F,1997-08-13,squezada@example.org,1-430-435-0238x502,2,2022-05-05,Frecuente
920,972681394,Cynthia,Valdivia León,M,1978-01-03,vornelas@example.org,1-523-328-2930x202,,,Ocasional
921,071324676,Isabel,Pacheco Vela,N,1990-05-12,galvanemilia@example.org,033.467.7116,,,Ocasional
922,621458074,María Eugenia,Nava Alarcón,F,1985-11-11,jponce@example.com,955.302.4530x1239,4,2023-12-05,Ocasional
923,309268747,Pilar,Holguín Saavedra,M,1966-10-25,eugenioanaya@example.org,202-847-1901,1,2025-11-13,Ocasional
924,153594088,María Elena,Curiel Dávila,M,2005-03-04,guillermoavila@example.com,+76(4)8717754619,3,2022-11-23,Frecuente
925,404652090,Ruby,Elizondo Jaime,M,2001-09-01,olverajorge-luis@example.net,(387)272-5812x2590,2,2024-10-30,Frecuente
926,483524638,Rocío,Montalvo Olmos,M,1953-06-05,stejeda@example.net,823-733-7912,1,2024-01-20,Frecuente
927,822834164,Benito,Cedillo Bravo,N,1991-05-05,arreolacarla@example.net,1-803-586-9017x074,4,2024-01-20,VIP
928,663658345,Alejandro,Garza Zamora,N,2001-02-21,jesuscano@example.net,945.295.1712x2276,3,2023-10-26,Frecuente
929,826170158,Florencia,Haro Garay,F,1956-08-31,kecheverria@example.org,422.162.6549,2,2025-11-13,Ocasional
930,376380465,Verónica,Olivas Espinosa,N,1964-09-18,abeltirado@example.org,1-444-704-8878,3,2022-07-17,Ocasional
931,867083221,Rufino,Vera Menéndez,M,1953-08-15,juarezmarisol@example.org,(059)685-1953,4,2025-07-15,Ocasional
932,362257191,Marisol,Salgado Hinojosa,N,1982-07-06,leonelponce@example.net,(329)563-4277x75225,1,2022-12-12,Ocasional
933,729075942,Raquel,Corrales Alfaro,M,2001-08-31,zblanco@example.com,(129)205-9229x4115,1,2025-02-03,Frecuente
934,938143572,Lilia,Gamez Arias,F,2004-07-11,rosamatias@example.com,(963)637-2629x42066,2,2022-11-12,Ocasional
935,340909177,Antonio,Meza Huerta,N,1970-12-04,urenaivonne@example.org,1-313-800-4983,3,2024-08-26,Frecuente
936,027668441,Cristina,Barela Botello,M,1976-01-19,corneliocabrera@example.org,05481582686,1,2022-11-05,Ocasional
937,010620205,Omar,Sanabria Padilla,F,2000-04-13,abril19@example.org,548-806-4420x0629,1,2025-02-12,VIP
938,550348115,Nadia,Salinas Quintanilla,N,2001-08-26,uguevara@example.net,1-664-641-9623,2,2022-05-24,Ocasional
939,613582417,Gustavo,Dueñas Carrasco,N,1985-10-08,marco-antoniocolunga@example.org,03204104294,,,Frecuente
940,976040669,Óscar,Gamboa Carreón,M,2005-06-24,mercedes89@example.net,01797269999,4,2023-08-19,VIP
941,080221792,Germán,Velásquez Soto,F,2003-02-24,cruznoelia@example.net,1-180-036-6602,4,2022-06-06,Frecuente
942,257384373,Abelardo,Bañuelos Adame,N,1991-03-15,elsa28@example.com,1-863-105-0524,4,2023-03-04,VIP
943,101467096,Felipe,Tamayo Gollum,M,1978-04-20,motaperla@example.net,(692)990-0768,4,2022-03-05,Ocasional
944,975370340,Magdalena,Dávila Reyna,N,2004-07-03,oguerrero@example.org,(389)633-7618x5186,,,Frecuente
945,893681724,Diana,Otero Rentería,M,1994-03-30,gutierrezmanuel@example.net,(101)328-2339,1,2022-02-24,VIP
946,580651128,Cristian,Camacho Toledo,F,1980-04-16,jaquelineescobar@example.com,918.750.6776x10659,,,Ocasional
947,285518145,Daniela,Aguayo Tijerina,M,2001-11-01,jaquezfernando@example.org,279.761.7815x9698,3,2025-01-14,Frecuente
948,813973916,Trinidad,Gurule Toro,M,2001-09-07,jeronimo72@example.net,(026)656-8629x59125,,,Ocasional
949,995174595,Marisol,Flores Manzanares,F,1967-07-15,jacobomelgar@example.org,460.742.9907x4729,2,2022-10-25,Frecuente
950,950644548,Lilia,Piña Villanueva,F,1996-05-28,andrea79@example.net,708-089-7474x859,3,2022-07-21,Frecuente
951,340024314,Reina,Linares Palomino,F,1953-05-07,antonio83@example.net,416-734-7853x6988,3,2022-01-10,VIP
952,517204577,Bernabé,Olivares Loya,N,1984-01-10,jaimesgregorio@example.com,+92(8)6052102627,4,2022-08-31,Ocasional
953,130130637,Alfredo,Osorio Pabón,F,1980-08-27,perla90@example.org,(248)458-1308x8983,4,2023-12-20,Frecuente
954,913937999,Wendolin,Arguello Mendoza,M,1994-11-04,qmagana@example.net,(399)741-8563x0275,,,Frecuente
955,818663983,Adán,Arreola Abrego,F,1988-01-15,amaliamontano@example.net,619-953-0564x184,1,2022-06-26,VIP
956,096141257,Raúl,Espinosa Quezada,F,1973-12-16,magdalena79@example.org,701-872-6001x3651,4,2023-03-02,Ocasional
957,355689364,Amanda,Godoy Juárez,N,1967-05-18,hernan42@example.net,067.456.8652x4062,,,Frecuente
958,606901187,Carmen,Carrión Mejía,M,1971-08-01,santiago96@example.com,562-221-9053,3,2025-02-24,Frecuente
959,289806145,Esmeralda,Lozano Quiñónez,N,2001-09-17,holguinmodesto@example.com,648.455.9396x521,,,Frecuente
960,319263528,Esther,Téllez Garza,N,1992-09-13,abraham71@example.org,(553)129-0036,3,2024-06-10,Ocasional
961,135919799,Carolina,Escalante Bustos,M,1990-02-01,rodriquezeva@example.net,772-648-8395,3,2025-11-28,Frecuente
962,752687584,Pilar,Mayorga Mayorga,N,1996-02-24,david29@example.net,(252)516-1857,,,Ocasional
963,660005917,José Carlos,Bravo Rangel,F,1980-04-23,bacaivan@example.org,054-914-7744x7353,,,Frecuente
964,728879326,Jonás,Cisneros Luevano,F,1965-08-02,utafoya@example.net,417.159.4973x44930,,,Ocasional
965,883319856,Isabela,Godoy Sáenz,F,1965-02-28,garibayeloisa@example.org,361-133-8926x0878,,,Ocasional
966,786556018,Oswaldo,del Río Valdés,F,1974-07-29,moralesdelia@example.com,(730)486-2515x2174,,,Ocasional
967,483587059,Lucas,Mena Galindo,F,1953-05-14,espartaco78@example.org,08915673446,3,2022-05-30,Ocasional
968,994514092,Miriam,Brito Roque,F,1957-05-01,kochoa@example.net,914-336-2999x466,,,Ocasional
969,827481784,Frida,Mondragón Ávila,N,1996-04-23,arcebruno@example.org,(985)739-0835x2118,,,Ocasional
970,791474269,Rosario,Parra Solorio,F,1991-02-18,graciela24@example.com,884-997-9572,1,2025-07-19,VIP
971,123006785,Ramiro,Nevárez Salas,M,1964-11-22,teresa95@example.net,819-022-1797,1,2025-06-12,Frecuente
972,447149852,Pablo,Benavides Chapa,N,1982-05-22,oliver83@example.net,717.059.8445x1436,4,2025-10-01,Frecuente
973,597006707,Miriam,Crespo Solorzano,N,1951-11-25,gsolorzano@example.org,(303)885-6811,,,Frecuente
974,475579748,Reynaldo,Guillen Salazar,N,1970-03-03,laureanoivan@example.net,+09(9)2177905528,1,2025-03-14,VIP
975,982556643,Luz,Piña Vigil,F,1986-09-23,estelanino@example.org,588-070-5326x01193,4,2023-12-13,Ocasional
976,042883443,Rocío,Bétancourt Alarcón,N,1974-10-11,oscarcastillo@example.net,425.513.6090x858,2,2024-10-25,VIP
977,192438813,Benito,Sandoval Casillas,M,1963-05-20,limonitzel@example.org,437-361-5873,2,2024-03-24,VIP
978,690176939,Juan,Padilla Cintrón,F,1989-10-09,nberrios@example.net,896.933.5390,1,2024-08-03,Frecuente
979,787033436,Abraham,Merino Tovar,F,1991-09-19,luis-manuel15@example.net,(731)566-3979,1,2022-09-14,Frecuente
980,354650738,Eduardo,Munguía Montenegro,M,1985-11-01,camposjuan@example.com,690.283.7727,,,Ocasional
981,621422196,Alicia,Covarrubias Tovar,M,1996-08-14,aochoa@example.org,1-342-816-4416,2,2024-10-15,Frecuente
982,617208787,Araceli,Aragón Cantú,N,1954-10-10,omejia@example.org,1-846-405-1038,3,2022-10-19,VIP
983,628242181,Patricio,Abreu Cervántez,M,2006-09-21,agallegos@example.com,763-628-1444,,,Ocasional
984,553691686,María Elena,Carrillo Tafoya,M,1974-03-03,rosaliamateo@example.org,+96(9)0676490922,3,2025-11-08,Frecuente
985,644658633,Natalia,Terán Ledesma,N,1981-12-27,ujiminez@example.com,03587271743,,,Frecuente
986,604674640,Alejandra,Pizarro Uribe,M,1963-01-19,caraballojuan-carlos@example.com,034.398.8187x38775,4,2024-12-05,Ocasional
987,562955652,Nelly,Garibay González,F,2005-01-18,leticialimon@example.com,1-041-309-0915x386,2,2025-10-19,Ocasional
988,260153569,Agustín,Escamilla Trejo,F,1957-03-29,leonardocepeda@example.com,204-123-1905,,,Ocasional
989,104875674,María del Carmen,Riojas Cervantes,F,1970-01-08,jassogilberto@example.org,+07(9)4193245381,4,2022-07-11,Ocasional
990,885525368,Ana María,Rosas Mares,M,1970-09-26,colonclaudio@example.com,(709)872-6496x3225,2,2024-08-19,Frecuente
991,313549426,Arcelia,Saldivar Lugo,F,1970-06-11,dulce-marialongoria@example.org,326-118-9003,3,2025-05-06,Ocasional
992,225374463,Hilda,Olivas Sotelo,M,1992-02-28,scamacho@example.com,1-070-286-7202,1,2022-04-20,VIP
993,180184262,Aldo,Aparicio Villegas,N,1965-01-18,eva66@example.net,195-368-9005,4,2023-02-24,Frecuente
994,781725229,Martha,Rolón Zedillo,F,1985-02-12,alta-gracia01@example.com,259.007.3971,1,2022-03-10,VIP
995,635390497,Elias,Aragón Razo,F,1977-10-09,cynthiacaban@example.org,1-869-087-1672,,,Frecuente
996,755665662,Eduardo,Casares Alvarado,F,1988-08-23,ignacio46@example.org,192.817.0744x360,,,Ocasional
997,601049763,Clemente,Garza Madera,N,1959-08-22,cesar25@example.org,06025239412,4,2023-05-21,VIP
998,749824292,Wendolin,Alfaro Vergara,F,1999-04-06,hilda77@example.org,903-265-5132x761,,,Ocasional
999,793556339,Uriel,Rivero Zavala,N,1967-03-04,porfirio02@example.com,598.516.0211,,,Frecuente
1000,340575928,René,Carranza Maya,F,1953-11-23,de-la-rosaluis-manuel@example.net,498-647-8686x237,3,2025-06-21,Ocasional
1001,201310868,Juan,Bahena Aguirre,F,1975-02-27,hugo74@example.org,378-191-9074x9921,2,2023-06-28,Frecuente
1002,928355118,Marco Antonio,Macías Armas,N,1981-11-28,paezreina@example.net,836.923.5348x48647,,,Frecuente
1003,505033630,Alfredo,Santana Cotto,F,2002-09-13,garridorenato@example.net,(546)220-2123x720,4,2023-06-16,Ocasional
1004,447568411,Jorge,Méndez Abreu,F,1953-12-21,estebanacevedo@example.org,+08(8)6346739190,4,2025-12-02,Ocasional
1005,337777690,Abelardo,Sevilla Soliz,F,1961-01-01,casasflavio@example.org,009-169-2327x379,2,2023-03-20,Frecuente
1006,384741237,Zacarías,Tapia Vélez,M,1965-01-05,yarmendariz@example.org,(548)186-7463x0009,,,Ocasional
1007,470980888,Rolando,Serrato Lebrón,M,1998-08-16,felixpuente@example.org,03711815198,1,2024-02-28,VIP
1008,760255147,Verónica,Negrón Huerta,F,1953-03-31,monica29@example.com,034-015-3534,1,2025-10-07,Ocasional
1009,882944574,Liliana,Partida Anguiano,F,1950-09-13,ymedina@example.net,944.946.6720x1082,2,2025-05-08,Frecuente
1010,877989989,Gabriela,Alemán Chávez,M,1993-12-30,sarabiacornelio@example.org,387-940-2620x85817,,,Ocasional
1011,609280151,Frida,Meléndez Chacón,M,1953-10-11,ygaytan@example.com,364-235-7004x12918,,,Ocasional
1012,726984694,Clara,Ureña Meraz,F,1996-11-04,ulloacamilo@example.net,(125)590-4610x079,4,2023-06-07,Ocasional
1013,531689977,Débora,Gaona Baca,N,1952-12-11,luis60@example.org,02838271012,,,Ocasional
1014,958944015,Elvira,Cavazos Vanegas,M,1955-09-11,wbarrientos@example.org,048-507-6653,,,Frecuente
1015,616626891,Francisco Javier,Marrero Olivárez,M,1979-02-12,maganavanesa@example.org,763-460-1915,,,Frecuente
1016,547141126,Eva,Aguilar Navarrete,N,1988-08-14,uflores@example.com,243.586.1768x225,1,2022-02-11,Ocasional
1017,876545933,Benito,Castro Reynoso,M,1955-11-04,lauraregalado@example.org,666-562-2419x7687,2,2024-05-14,VIP
1018,017798727,Nayeli,Jimínez Lozada,F,1953-10-24,frobles@example.net,(903)500-6184,,,Ocasional
1019,641078252,Mónica,Valles Rosas,N,1981-08-13,clemente23@example.com,340-466-8212,3,2024-10-24,VIP
1020,086434566,Asunción,Miramontes Prieto,F,2001-04-09,salma52@example.com,920-644-1119,2,2025-05-30,Ocasional
1021,901606486,Miguel,Estévez Treviño,F,1966-01-27,tamezconcepcion@example.com,063.435.9488,3,2024-07-19,Frecuente
1022,430630382,Diego,Barragán Suárez,M,1997-01-18,rodrigo68@example.org,640-511-0212x543,4,2023-08-25,Ocasional
1023,635509936,Víctor,Leiva Borrego,F,1984-10-25,fernandoanguiano@example.org,1-604-986-0372x18600,,,VIP
1024,375473529,Eloy,Dávila Bañuelos,N,2003-05-03,bernardovillegas@example.com,(999)011-4003x4713,,,Ocasional
1025,640338782,Bernabé,Salgado Camacho,M,1955-08-24,avaca@example.org,162.590.8419x47855,,,Ocasional
1026,410932933,Abril,Casárez Bermúdez,N,1985-01-05,marcelamolina@example.org,1-821-072-8878,3,2024-12-06,Ocasional
1027,833013831,Abelardo,Rodríguez Chapa,N,1982-04-18,wzamudio@example.org,1-371-616-0881x97223,,,Ocasional
1028,371129068,Zoé,Ybarra Villalobos,M,1975-11-08,eheredia@example.com,08375307681,2,2025-12-27,Ocasional
1029,168959821,Abraham,Echeverría Llamas,F,1956-09-27,ulloajosefina@example.com,1-800-244-3236x221,4,2024-11-14,Frecuente
1030,268184855,Julio César,Vigil Archuleta,N,1977-04-01,qzarate@example.com,(574)670-6751x6913,1,2024-05-24,VIP
1031,910498955,Reynaldo,Nava Collado,N,1951-05-23,medinaanabel@example.net,06426107033,,,Ocasional
1032,513934774,José,Arredondo Solorzano,M,1979-10-31,cristina43@example.net,198.392.4848x13004,3,2023-12-12,Frecuente
1033,847355174,Bernabé,Pizarro Zaragoza,N,1963-05-18,alejandroignacio@example.org,+21(5)1675864633,2,2022-09-20,Frecuente
1034,621896753,Yeni,Mendoza Gonzales,M,1972-08-02,paulina11@example.org,1-014-764-2789,2,2024-11-12,Frecuente
1035,919443301,Luz,Casillas Maya,N,1994-06-03,jgurule@example.com,1-128-177-5123,,,Frecuente
1036,847163082,Rosalia,Nieves Valladares,F,1999-10-31,gsantillan@example.com,426.097.2360,3,2025-12-23,Frecuente
1037,116087929,Cristian,Lucero Loya,M,1950-05-05,xnegron@example.com,(772)051-7107x308,4,2022-06-17,Ocasional
1038,221759342,Marisol,Casillas Nájera,M,1969-02-27,wirizarry@example.net,837.031.7543x802,,,VIP
1039,801828879,Margarita,Lucio Beltrán,M,2005-10-27,nadia57@example.net,(602)925-4686,1,2022-07-08,Frecuente
1040,002623537,Concepción,Raya Escamilla,N,1981-12-07,amalia76@example.com,207-632-7135,,,Ocasional
1041,675095079,Emilio,Ulibarri Pacheco,M,1960-05-16,sperales@example.org,923.868.7906,4,2025-05-28,Frecuente
1042,249219509,Yuridia,Anguiano Irizarry,M,1960-07-18,rvillareal@example.org,(055)340-5089,3,2023-06-25,VIP
1043,594221397,Clemente,Rojo Feliciano,N,1969-08-03,ubotello@example.net,1-640-535-6707x897,3,2024-07-30,Ocasional
1044,482423893,Modesto,Mojica Montañez,M,1950-05-03,cristobal61@example.net,1-038-422-7362x73202,2,2022-11-28,Ocasional
1045,851816518,Delia,Contreras Rosario,M,1995-03-02,caraballoantonio@example.com,769.171.6204,,,Frecuente
1046,152447228,Cristina,Tórrez Nieto,F,1982-04-24,lomeligabriel@example.net,983-052-1690x392,,,Ocasional
1047,417949023,Eduardo,Anguiano Dueñas,M,1958-06-24,yvarela@example.net,+14(2)6471068017,3,2023-02-26,VIP
1048,957590969,Marisol,Almaraz Gálvez,F,1981-07-14,paboneloisa@example.com,+50(0)4933267244,,,VIP
1049,103250705,José Manuél,Vélez Garrido,N,1970-03-26,quintanacristobal@example.net,763-808-3906,1,2022-06-20,Ocasional
1050,675978875,Irma,Hurtado Ballesteros,F,1964-12-22,jeronimourbina@example.com,09393272728,2,2022-08-02,VIP
1051,281634445,Asunción,Crespo Vega,F,1993-10-16,ontiverosestela@example.com,049-602-6676x52728,4,2022-05-28,Frecuente
1052,270255285,Trinidad,Maestas Moya,N,1998-11-04,rolandosaenz@example.com,950.708.8640x6756,4,2022-09-24,Ocasional
1053,160881800,Agustín,de la O Armendáriz,M,2004-09-15,candelariaraul@example.org,022.154.3904x4890,1,2023-09-23,VIP
